model,fold_1,fold_2,fold_3,fold_4,mean_ap50,family,source
YOLOv5n,0.770,0.767,0.747,0.747,0.758,YOLOv5,Lema et al. 2025 Table 4
YOLOv5s,0.769,0.776,0.750,0.747,0.761,YOLOv5,Lema et al. 2025 Table 4
YOLOv5m,0.769,0.769,0.762,0.759,0.765,YOLOv5,Lema et al. 2025 Table 4
YOLOv5l,0.775,0.767,0.742,0.744,0.757,YOLOv5,Lema et al. 2025 Table 4
YOLOv5x,0.764,0.762,0.767,0.751,0.761,YOLOv5,Lema et al. 2025 Table 4
YOLOv8n,0.766,0.762,0.753,0.742,0.756,YOLOv8,Lema et al. 2025 Table 4
YOLOv8s,0.760,0.755,0.743,0.746,0.751,YOLOv8,Lema et al. 2025 Table 4
YOLOv8m,0.764,0.752,0.741,0.741,0.749,YOLOv8,Lema et al. 2025 Table 4
YOLOv8l,0.748,0.757,0.727,0.736,0.742,YOLOv8,Lema et al. 2025 Table 4
YOLOv8x,0.737,0.756,0.740,0.749,0.746,YOLOv8,Lema et al. 2025 Table 4
YOLOv8-Unet,0.773,0.748,0.744,0.718,0.746,Custom,Lema et al. 2025 Table 4
YOLOv8n-BS,0.775,0.764,0.751,0.735,0.756,Custom,Lema et al. 2025 Table 4
YOLOv8n-DD,0.313,0.326,0.375,0.451,0.366,Custom,Lema et al. 2025 Table 4
YOLOv10n,0.746,0.744,0.715,0.725,0.733,YOLOv10,Lema et al. 2025 Table 4
YOLOv10s,0.739,0.745,0.719,0.723,0.732,YOLOv10,Lema et al. 2025 Table 4
YOLOv10m,0.744,0.747,0.732,0.747,0.743,YOLOv10,Lema et al. 2025 Table 4
YOLOv10l,0.748,0.747,0.731,0.736,0.741,YOLOv10,Lema et al. 2025 Table 4
YOLOv10x,0.742,0.733,0.731,0.732,0.735,YOLOv10,Lema et al. 2025 Table 4
YOLO11n,0.755,0.767,0.749,0.751,0.756,YOLO11,Lema et al. 2025 Table 4
YOLO11s,0.763,0.755,0.745,0.732,0.749,YOLO11,Lema et al. 2025 Table 4
YOLO11m,0.753,0.763,0.748,0.744,0.752,YOLO11,Lema et al. 2025 Table 4
YOLO11l,0.762,0.763,0.752,0.757,0.759,YOLO11,Lema et al. 2025 Table 4
YOLO11x,0.754,0.760,0.754,0.729,0.749,YOLO11,Lema et al. 2025 Table 4

