model_a,model_b,mean_ap50_a,mean_ap50_b,mean_difference_a_minus_b,p_value,significant_at_0_05
YOLOv5m,YOLOv10s,0.765,0.732,0.03300000000000003,0.02727711604919869,True
YOLOv5m,YOLOv10n,0.765,0.733,0.03200000000000003,0.03859307262547684,True
YOLOv5m,YOLOv10x,0.765,0.735,0.030000000000000027,0.07434055354571578,False
YOLOv5x,YOLOv10s,0.761,0.732,0.029000000000000026,0.09369416073238146,False
YOLOv5s,YOLOv10s,0.761,0.732,0.029000000000000026,0.1088050223817566,False
YOLOv5x,YOLOv10n,0.761,0.733,0.028000000000000025,0.1258557592260252,False
YOLOv5s,YOLOv10n,0.761,0.733,0.028000000000000025,0.1449855614612382,False
YOLOv10s,YOLO11l,0.732,0.759,-0.027000000000000024,0.18996084067641283,False
YOLOv5x,YOLOv10x,0.761,0.735,0.026000000000000023,0.2159864161531625,False
YOLOv5n,YOLOv10s,0.758,0.732,0.026000000000000023,0.22990750643701308,False
YOLOv10n,YOLO11l,0.733,0.759,-0.026000000000000023,0.24443666548672782,False
YOLOv5s,YOLOv10x,0.761,0.735,0.026000000000000023,0.24443666548672782,False
YOLOv5l,YOLOv10s,0.757,0.732,0.025000000000000022,0.2753092287052924,False
YOLOv5n,YOLOv10n,0.758,0.733,0.025000000000000022,0.2916395412233145,False
YOLOv8n-BS,YOLOv10s,0.756,0.732,0.02400000000000002,0.32602898658760504,False
YOLOv5l,YOLOv10n,0.757,0.733,0.02400000000000002,0.34405305181207746,False
YOLOv8n,YOLOv10s,0.756,0.732,0.02400000000000002,0.3625999677193913,False
YOLOv5m,YOLOv10l,0.765,0.741,0.02400000000000002,0.3625999677193996,False
YOLOv10x,YOLO11l,0.735,0.759,-0.02400000000000002,0.38164203903953486,False
YOLOv10s,YOLO11n,0.732,0.756,-0.02400000000000002,0.3816420390395434,False
YOLOv8n-BS,YOLOv10n,0.756,0.733,0.02300000000000002,0.40114736255402417,False
YOLOv5n,YOLOv10x,0.758,0.735,0.02300000000000002,0.4413990651555605,False
YOLOv8n,YOLOv10n,0.756,0.733,0.02300000000000002,0.4413990651555605,False
YOLOv10n,YOLO11n,0.733,0.756,-0.02300000000000002,0.46206069523678794,False
YOLOv5m,YOLOv8l,0.765,0.742,0.02300000000000002,0.4830163000091876,False
YOLOv5l,YOLOv10x,0.757,0.735,0.02200000000000002,0.5042137016700323,False
YOLOv5m,YOLOv10m,0.765,0.743,0.02200000000000002,0.5255972015473941,False
YOLOv8n-BS,YOLOv10x,0.756,0.735,0.02100000000000002,0.5686840588097388,False
YOLOv8n,YOLOv10x,0.756,0.735,0.02100000000000002,0.611774426029504,False
YOLOv10x,YOLO11n,0.735,0.756,-0.02100000000000002,0.633155275814266,False
YOLOv10s,YOLO11m,0.732,0.752,-0.020000000000000018,0.6752485072004766,False
YOLOv5x,YOLOv10l,0.761,0.741,0.020000000000000018,0.6752485072004766,False
YOLOv5s,YOLOv10l,0.761,0.741,0.020000000000000018,0.7159994625523431,False
YOLOv8s,YOLOv10s,0.751,0.732,0.019000000000000017,0.7548869319291014,False
YOLOv10n,YOLO11m,0.733,0.752,-0.019000000000000017,0.7548869319291098,False
YOLOv5m,YOLOv8x,0.765,0.746,0.019000000000000017,0.7734802150689826,False
YOLOv5m,YOLOv8-Unet,0.765,0.746,0.019000000000000017,0.7914330360811529,False
YOLOv5x,YOLOv8l,0.761,0.742,0.019000000000000017,0.7914330360811529,False
YOLOv5x,YOLOv10m,0.761,0.743,0.018000000000000016,0.8252252417851992,False
YOLOv5s,YOLOv8l,0.761,0.742,0.019000000000000017,0.8252252417852063,False
YOLOv8s,YOLOv10n,0.751,0.733,0.018000000000000016,0.8252252417852063,False
YOLOv10l,YOLO11l,0.741,0.759,-0.018000000000000016,0.8559359222716381,False
YOLOv8m,YOLOv10s,0.749,0.732,0.017000000000000015,0.8559359222716381,False
YOLOv5s,YOLOv10m,0.761,0.743,0.018000000000000016,0.8559359222716445,False
YOLOv10s,YOLO11x,0.732,0.749,-0.017000000000000015,0.8700604191970188,False
YOLOv10x,YOLO11m,0.735,0.752,-0.017000000000000015,0.883337732998175,False
YOLOv10s,YOLO11s,0.732,0.749,-0.017000000000000015,0.8957567027624667,False
YOLOv5n,YOLOv10l,0.758,0.741,0.017000000000000015,0.895756702762472,False
YOLOv8m,YOLOv10n,0.749,0.733,0.016000000000000014,0.9073132744812888,False
YOLOv10n,YOLO11x,0.733,0.749,-0.016000000000000014,0.9180104175605306,False
YOLOv8l,YOLO11l,0.742,0.759,-0.017000000000000015,0.9278579243136329,False
YOLOv8s,YOLOv10x,0.751,0.735,0.016000000000000014,0.9278579243136329,False
YOLOv5l,YOLOv10l,0.757,0.741,0.016000000000000014,0.9278579243136371,False
YOLOv10n,YOLO11s,0.733,0.749,-0.016000000000000014,0.9368720955429074,False
YOLOv10m,YOLO11l,0.743,0.759,-0.016000000000000014,0.9450753184346252,False
YOLOv5m,YOLO11s,0.765,0.749,0.016000000000000014,0.9450753184346322,False
YOLOv8n-BS,YOLOv10l,0.756,0.741,0.015000000000000013,0.9524955460431984,False
YOLOv5n,YOLOv8l,0.758,0.742,0.016000000000000014,0.9524955460432015,False
YOLOv5x,YOLOv8x,0.761,0.746,0.015000000000000013,0.9591656904931445,False
YOLOv5m,YOLO11x,0.765,0.749,0.016000000000000014,0.9591656904931473,False
YOLOv5x,YOLOv8-Unet,0.761,0.746,0.015000000000000013,0.9651229445690724,False
YOLOv8n,YOLOv10l,0.756,0.741,0.015000000000000013,0.9651229445690724,False
